Linux Color Eyedropper;Minimal color eyedropper tool for linux;finished;public;https://sr.ht/~eliasnijs/linux-system/
Linux System;All files related to my linux system - includes configuration/dotfiles, scripts and my versions of the suckless tools I use;in progress;public;https://sr.ht/~eliasnijs/linux-system/
